date,division,pdsi
1895-01-01,7,0.42
1895-02-01,7,0.6
1895-03-01,7,0.71
1895-04-01,7,0.48
1895-05-01,7,0.51
1895-06-01,7,0.86
1895-07-01,7,0.97
1895-08-01,7,0.96
1895-09-01,7,0.85
1895-10-01,7,0.3
1895-11-01,7,0.75
1895-12-01,7,0.4
1896-01-01,7,0.27
1896-02-01,7,0.41
1896-03-01,7,0.84
1896-04-01,7,2.9
1896-05-01,7,2.8
1896-06-01,7,3.07
1896-07-01,7,2.89
1896-08-01,7,2.07
1896-09-01,7,2.35
1896-10-01,7,2.78
1896-11-01,7,3.24
1896-12-01,7,2.92
1897-01-01,7,4.12
1897-02-01,7,4.13
1897-03-01,7,4.7
1897-04-01,7,5.2
1897-05-01,7,4.06
1897-06-01,7,4.11
1897-07-01,7,4.85
1897-08-01,7,5.1
1897-09-01,7,4.51
1897-10-01,7,4.3
1897-11-01,7,-0.04
1897-12-01,7,-0.04
1898-01-01,7,-0.35
1898-02-01,7,-0.45
1898-03-01,7,-0.59
1898-04-01,7,-0.73
1898-05-01,7,0.8
1898-06-01,7,-0.66
1898-07-01,7,-0.18
1898-08-01,7,-0.7
1898-09-01,7,-1.0
1898-10-01,7,-0.62
1898-11-01,7,-0.88
1898-12-01,7,-1.21
1899-01-01,7,-1.26
1899-02-01,7,-1.41
1899-03-01,7,-1.62
1899-04-01,7,-1.64
1899-05-01,7,0.44
1899-06-01,7,0.4
1899-07-01,7,-0.49
1899-08-01,7,0.68
1899-09-01,7,-0.72
1899-10-01,7,-0.27
1899-11-01,7,-0.82
1899-12-01,7,-1.0
1900-01-01,7,-1.26
1900-02-01,7,-1.51
1900-03-01,7,-1.1
1900-04-01,7,-1.37
1900-05-01,7,-2.45
1900-06-01,7,-2.83
1900-07-01,7,1.3
1900-08-01,7,2.93
1900-09-01,7,4.13
1900-10-01,7,4.09
1900-11-01,7,3.53
1900-12-01,7,3.1
1901-01-01,7,2.64
1901-02-01,7,2.28
1901-03-01,7,1.9
1901-04-01,7,1.51
1901-05-01,7,0.94
1901-06-01,7,1.92
1901-07-01,7,1.37
1901-08-01,7,1.18
1901-09-01,7,3.59
1901-10-01,7,3.46
1901-11-01,7,3.08
